pegawai_sertifikasi_id;pegawai_nama;sertifikasi_nama;pegawai_serti;Sertifikasi_akhir
;Pegawai 832;Certified Data Centre Professional;25/04/2018;31/12/2029
;Pegawai 5;Certified Human Resources Management Professional;25/06/2021;31/12/2029
;Pegawai 1456;Cisco Certified Network Associate;26/05/2020;31/12/2029
;Pegawai 884;Certified Professional Management Accountant;29/06/2020;31/12/2029
;Pegawai 793;Governance Risk Management and Compliance Professional;10/11/2018;31/12/2029
;Pegawai 1147;Certified Sustainability Reporting Specialist;20/11/2021;31/12/2029
;Pegawai 569;AccessData Certified Examiner;25/04/2020;31/12/2029
;Pegawai 1078;Certified Risk Management Professional;29/06/2019;31/12/2029
;Pegawai 1481;Certified Government Chief Audit Executive;15/07/2022;31/12/2029
;Pegawai 1306;Certified Human Resources Management Professional (CHRMP);07/05/2021;31/12/2029
;Pegawai 999;Certified Pernyataan Standar Akuntansi Keuangan;10/01/2018;31/12/2029
;Pegawai 716;Certified Government Auditing Professional;03/01/2020;31/12/2029
;Pegawai 878;Cellebrite Certified Officer;30/06/2019;31/12/2029
;Pegawai 1994;Certified Grafologie Analyst;04/01/2018;31/12/2029
;Pegawai 561;Certified Grafologie Analyst;13/12/2019;31/12/2029
;Pegawai 1937;Certified Professional Management Accountant;06/04/2019;31/12/2029
;Pegawai 777;Certified Professional Talent Management;18/12/2020;31/12/2029
;Pegawai 126;Certified Sustainability Reporting Specialist;04/11/2021;31/12/2029
;Pegawai 1480;Oxygen Forensic Certified;19/10/2020;31/12/2029
;Pegawai 755;Chartered Accountant;01/10/2021;31/12/2029
;Pegawai 1627;Cellebrite Certified Physical Analyst;22/08/2022;31/12/2029
;Pegawai 1645;Certified Internal Control Auditor;30/12/2022;31/12/2029
;Pegawai 1590;Certified Sustainability Reporting Specialist;26/07/2018;31/12/2029
;Pegawai 20;Governance  Risk Management and Compliance Audit;15/01/2018;31/12/2029
;Pegawai 354;Certified Professional Management Accountant;10/04/2021;31/12/2029
;Pegawai 1508;Cellebrite Certified Operator;15/11/2020;31/12/2029
;Pegawai 572;Enterprise Risk Management Certified Professional;26/03/2021;31/12/2029
;Pegawai 482;Certified Legal Auditor;15/12/2021;31/12/2029
;Pegawai 1241;Loop Certified Corporate Coach;07/10/2022;31/12/2029
;Pegawai 767;Governance Risk Management and Compliance Professional;04/11/2022;31/12/2029
;Pegawai 1942;Certified Grafologie Analyst;28/06/2018;31/12/2029
;Pegawai 1883;Corporate Forensic Auditor;21/03/2020;31/12/2029
;Pegawai 1253;Cellebrite Certified Physical Analyst;08/01/2018;31/12/2029
;Pegawai 852;Associate Certified Public Accountant;19/09/2022;31/12/2029
;Pegawai 1374;ASEAN Chartered Professional Accountant;19/07/2020;31/12/2029
;Pegawai 1954;Certified Information System Auditors;25/04/2020;31/12/2029
;Pegawai 1501;Certified Risk Management Professional;28/01/2019;31/12/2029
;Pegawai 631;Certified Data Centre Professional;06/09/2018;31/12/2029
;Pegawai 1553;Certified Secure Computer User;27/08/2020;31/12/2029
;Pegawai 232;Insinyur;27/07/2022;31/12/2029
;Pegawai 942;Enterprise Risk Management Associate Professional;25/05/2021;31/12/2029
;Pegawai 593;Qualified Risk Management Officer;30/05/2018;31/12/2029
;Pegawai 1587;Certified Human Resources Analyst;17/12/2020;31/12/2029
;Pegawai 1043;Certified Government Auditing Professional;29/09/2018;31/12/2029
;Pegawai 307;Certificate in International Public Sector Accounting Standards;25/04/2019;31/12/2029
;Pegawai 1339;Insinyur Professional Madya;01/04/2020;31/12/2029
;Pegawai 199;Certified Secure Computer User;01/03/2021;31/12/2029
;Pegawai 865;Certification in Risk Management Assurance;10/02/2018;31/12/2029
;Pegawai 1412;Qualified Internal Auditor;29/06/2018;31/12/2029
;Pegawai 208;Certified Internal Auditor;08/02/2022;31/12/2029
;Pegawai 795;Certified Fraud Examiner;29/04/2022;31/12/2029
;Pegawai 938;Certificate in International Auditing;19/09/2022;31/12/2029
;Pegawai 874;Certified Ethical Hacker;28/08/2020;31/12/2029
;Pegawai 675;Cyber Security Foundation Professional;22/01/2020;31/12/2029
;Pegawai 903;Certified Sustainability Reporting Specialist;25/07/2020;31/12/2029
;Pegawai 1365;Certified Internal Audit Officer;29/06/2019;31/12/2029
;Pegawai 1337;Certified Professional Talent Management;21/01/2019;31/12/2029
;Pegawai 797;Cellebrite Certified Physical Analyst;19/07/2018;31/12/2029
;Pegawai 1837;Teknisi Akuntansi;20/07/2020;31/12/2029
;Pegawai 841;Certified Procurement Specialist;06/02/2020;31/12/2029
;Pegawai 259;Certified Contract Management Specialist;06/05/2019;31/12/2029
;Pegawai 1410;Certificate in International Auditing;17/12/2019;31/12/2029
;Pegawai 633;Sertifikasi Change Management;07/12/2018;31/12/2029
;Pegawai 1193;Certified Professional Coach;09/02/2018;31/12/2029
;Pegawai 1522;ASEAN Chartered Professional Accountant;17/09/2021;31/12/2029
;Pegawai 1734;Qualified Risk Management Officer;23/10/2019;31/12/2029
;Pegawai 1641;Akuntan;14/04/2018;31/12/2029
;Pegawai 81;Certified Data Centre Professional;26/03/2021;31/12/2029
;Pegawai 908;Enterprise Risk Management Certified Professional;03/01/2020;31/12/2029
;Pegawai 542;AccessData Certified Examiner;09/02/2018;31/12/2029
;Pegawai 712;Certified Professional Coach;24/08/2019;31/12/2029
;Pegawai 972;Certified Professional Management Accountant;13/04/2019;31/12/2029
;Pegawai 612;Certified Internal Control Auditor;11/02/2022;31/12/2029
;Pegawai 62;Chartered Accountant;07/06/2022;31/12/2029
;Pegawai 1294;Certified Sustainability Practitioner;19/05/2020;31/12/2029
;Pegawai 1575;Certified Information System Auditors;11/07/2018;31/12/2029
;Pegawai 652;Certified Pernyataan Standar Akuntansi Keuangan;20/09/2018;31/12/2029
;Pegawai 1073;Certified Manpower Planner;16/10/2020;31/12/2029
;Pegawai 1332;Insinyur Professional Madya;16/08/2019;31/12/2029
;Pegawai 1432;Insinyur Professional Madya;24/08/2019;31/12/2029
;Pegawai 1651;Certified Human Resources Management Professional (CHRMP);16/11/2020;31/12/2029
;Pegawai 1854;Certified Secure Computer User;03/05/2022;31/12/2029
;Pegawai 1866;Certified Professional Talent Management;16/07/2022;31/12/2029
;Pegawai 1081;Certified State Finance Auditor;05/04/2020;31/12/2029
;Pegawai 1428;Certified Information System Auditors;27/09/2019;31/12/2029
;Pegawai 416;Certified Professional Management Accountant;20/04/2020;31/12/2029
;Pegawai 649;Oxygen Forensic Certified;04/05/2019;31/12/2029
;Pegawai 674;Certified Financial Planner;21/07/2018;31/12/2029
;Pegawai 55;Certified Risk Management Professional;24/03/2019;31/12/2029
;Pegawai 733;Certified Fraud Examiner;05/11/2022;31/12/2029
;Pegawai 250;Certified Financial Planner;28/07/2022;31/12/2029
;Pegawai 73;Certified Human Resources Analyst;24/01/2021;31/12/2029
;Pegawai 793;Cellebrite Certified Physical Analyst;25/11/2019;31/12/2029
;Pegawai 972;Certified Secure Computer User;10/02/2021;31/12/2029
;Pegawai 34;Certified Professional Talent Management;26/04/2021;31/12/2029
;Pegawai 198;Advanced Diploma in Forensic Accounting - Level 5;09/02/2018;31/12/2029
;Pegawai 680;Chartered Accountant;15/10/2018;31/12/2029
;Pegawai 1245;Certified Management Accountants;21/06/2021;31/12/2029
;Pegawai 768;Certified Public Accountant;27/03/2021;31/12/2029
;Pegawai 1674;Certified Corporate Coach;29/01/2020;31/12/2029
;Pegawai 1524;Certified Human Resources Professional;13/09/2019;31/12/2029
;Pegawai 1073;Certified Professional Coach;05/01/2018;31/12/2029
;Pegawai 354;Certified Sustainability Reporting Specialist;14/12/2018;31/12/2029
;Pegawai 1718;EnCase Certified Examiner;06/10/2021;31/12/2029
;Pegawai 690;Qualified Risk Management Officer;09/09/2020;31/12/2029
;Pegawai 1188;Certificate in International Auditing;21/11/2022;31/12/2029
;Pegawai 38;Asean Engineeer;20/11/2020;31/12/2029
;Pegawai 1268;Qualified Risk Management Officer;04/10/2022;31/12/2029
;Pegawai 1863;Certified Human Resources Analyst;09/03/2021;31/12/2029
;Pegawai 1645;Akuntan;07/01/2021;31/12/2029
;Pegawai 1007;Certified Pernyataan Standar Akuntansi Keuangan;11/04/2022;31/12/2029
;Pegawai 970;EnCase Certified Examiner;26/06/2020;31/12/2029
;Pegawai 264;Certified Information System Auditors;02/12/2020;31/12/2029
;Pegawai 99;Governance  Risk Management and Compliance Audit;08/05/2021;31/12/2029
;Pegawai 1060;Cisco Certified Network Associate;30/04/2020;31/12/2029
;Pegawai 1369;Certified Contract Management Specialist;19/05/2022;31/12/2029
;Pegawai 1336;Certified Risk Management Officer;01/06/2018;31/12/2029
;Pegawai 872;Certified Human Resources Management Professional (CHRMP);21/11/2020;31/12/2029
;Pegawai 140;Certified Risk Management Professional;06/01/2018;31/12/2029
;Pegawai 1608;Certified Human Resources Specialist;01/07/2021;31/12/2029
;Pegawai 653;Certified Data Centre Professional;18/12/2020;31/12/2029
;Pegawai 1272;Qualified Government Internal Auditor;01/03/2022;31/12/2029
;Pegawai 1412;Certified Contract Management Specialist;02/10/2021;31/12/2029
;Pegawai 1700;Certified Sustainability Reporting Specialist;06/01/2018;31/12/2029
;Pegawai 1996;Certified Corporate Coach;25/05/2019;31/12/2029
;Pegawai 1780;Chartered Accountant;17/05/2019;31/12/2029
;Pegawai 1504;Cerified Sustainability Reporting Assurer;02/03/2020;31/12/2029
;Pegawai 1388;Qualified Risk Management Officer;23/11/2020;31/12/2029
;Pegawai 853;Certified Data Centre Professional;23/11/2018;31/12/2029
;Pegawai 325;Certified Internal Auditor;27/09/2020;31/12/2029
;Pegawai 1320;Oxygen Forensic Certified;22/07/2021;31/12/2029
;Pegawai 303;Qualified Internal Auditor;17/05/2019;31/12/2029
;Pegawai 1744;Teknisi Akuntansi;23/01/2020;31/12/2029
;Pegawai 82;Asean Engineeer;01/06/2019;31/12/2029
;Pegawai 616;ASEAN Chartered Professional Accountant;24/09/2022;31/12/2029
;Pegawai 1358;Ahli Akuntansi Pemerintahan;04/07/2020;31/12/2029
;Pegawai 1018;Governance  Risk Management and Compliance Audit;11/02/2020;31/12/2029
;Pegawai 572;Certificate in International Auditing;18/08/2022;31/12/2029
;Pegawai 329;Certified Internal Audit Officer;18/08/2020;31/12/2029
;Pegawai 1079;Certified Human Resources Management Professional (CHRMP);27/11/2020;31/12/2029
;Pegawai 880;Qualified Risk Management Professional;01/02/2019;31/12/2029
;Pegawai 580;Akuntan;30/08/2018;31/12/2029
;Pegawai 1544;Certified Information System Auditors;11/11/2020;31/12/2029
;Pegawai 1512;Certified Human Resources Management Professional (CHRMP);25/07/2022;31/12/2029
;Pegawai 1954;Certificate in International Public Sector Accounting Standards;03/05/2020;31/12/2029
;Pegawai 1953;Teknisi Akuntansi;06/01/2019;31/12/2029
;Pegawai 1436;Certified Management Accountants;18/04/2019;31/12/2029
;Pegawai 427;Certified Hacking Forensic Investigator;27/08/2021;31/12/2029
;Pegawai 1991;Insinyur Professional Madya;19/02/2022;31/12/2029
;Pegawai 1229;Cellebrite Certified Physical Analyst;02/04/2020;31/12/2029
;Pegawai 1475;Certified Manpower Planner;18/02/2020;31/12/2029
;Pegawai 894;Certified Internal Control Auditor;01/12/2021;31/12/2029
;Pegawai 1732;Enterprise Risk Management Associate Professional;01/06/2018;31/12/2029
;Pegawai 1230;Certified Human Resources Specialist;04/02/2019;31/12/2029
;Pegawai 880;Certified Human Resources Management Professional (CHRMP);14/01/2020;31/12/2029
;Pegawai 985;Certified Internal Auditor;04/07/2020;31/12/2029
;Pegawai 1379;Certified RIsk Associate;12/10/2021;31/12/2029
;Pegawai 1503;Certified Human Resources Analyst;20/03/2019;31/12/2029
;Pegawai 381;Ahli Akuntansi Pemerintahan;17/07/2018;31/12/2029
;Pegawai 912;Certificate in Data Analytics;29/01/2022;31/12/2029
;Pegawai 751;Teknisi Akuntansi;27/12/2018;31/12/2029
;Pegawai 289;Insinyur Professional Madya;22/10/2018;31/12/2029
;Pegawai 1843;Certified Contract Management Specialist;01/03/2020;31/12/2029
;Pegawai 361;Enterprise Risk Management Associate Professional;23/05/2022;31/12/2029
;Pegawai 298;Corporate Forensic Auditor;09/09/2022;31/12/2029
;Pegawai 440;Certificate in International Auditing;20/01/2019;31/12/2029
;Pegawai 1001;Certified Internal Audit Officer;08/11/2018;31/12/2029
;Pegawai 1993;Teknisi Akuntansi;02/04/2019;31/12/2029
;Pegawai 1531;Certification in Risk Management Assurance;27/02/2022;31/12/2029
;Pegawai 736;EnCase Certified Examiner;14/01/2021;31/12/2029
;Pegawai 1161;Certified Public Accountant;08/09/2018;31/12/2029
;Pegawai 1227;Certified Information System Auditors;03/10/2021;31/12/2029
;Pegawai 1957;Certified Sustainability Reporting Specialist;28/11/2019;31/12/2029
;Pegawai 88;Insinyur Professional Madya;30/09/2021;31/12/2029
;Pegawai 960;Certified Accounting Technician;22/04/2022;31/12/2029
;Pegawai 385;Certified Human Resources Analyst;14/05/2019;31/12/2029
;Pegawai 1586;Certified Professional Talent Management;24/08/2021;31/12/2029
;Pegawai 207;Certified Internal Audit Officer;19/03/2019;31/12/2029
;Pegawai 1836;Cellebrite Certified Operator;15/09/2021;31/12/2029
;Pegawai 167;Certification in Control Self-Assessment;10/06/2020;31/12/2029
;Pegawai 1228;Certified Procurement Specialist;09/02/2021;31/12/2029
;Pegawai 1044;Certified Human Resources Management Professional;30/11/2022;31/12/2029
;Pegawai 1687;Certified Risk Professional;14/05/2018;31/12/2029
;Pegawai 1159;Certified Professional Talent Management;18/02/2018;31/12/2029
;Pegawai 946;Certified Contract Management Specialist;14/04/2022;31/12/2029
;Pegawai 548;Certified Procurement Specialist;11/02/2020;31/12/2029
;Pegawai 683;Certified Sustainability Practitioner;15/11/2020;31/12/2029
;Pegawai 244;Certified Internal Control Auditor;12/12/2020;31/12/2029
;Pegawai 1528;Certified RIsk Associate;12/10/2022;31/12/2029
;Pegawai 65;Cellebrite Certified Physical Analyst;15/11/2020;31/12/2029
;Pegawai 1266;Certified Corporate Coach;21/11/2019;31/12/2029
;Pegawai 1185;Advanced Diploma in Forensic Accounting - Level 5;02/07/2020;31/12/2029
;Pegawai 29;Certified Fraud Examiner;27/09/2018;31/12/2029
;Pegawai 1219;Certificate in International Auditing;22/12/2020;31/12/2029
;Pegawai 384;Enterprise Risk Management Associate Professional;01/04/2020;31/12/2029
;Pegawai 1039;Certified Risk Management Officer;30/07/2022;31/12/2029
;Pegawai 1331;Oxygen Forensic Certified;24/10/2022;31/12/2029
;Pegawai 1083;EnCase Certified Examiner;14/12/2022;31/12/2029
;Pegawai 784;Qualified Internal Auditor;17/10/2018;31/12/2029
;Pegawai 407;Certified Procurement Specialist;04/06/2020;31/12/2029
;Pegawai 605;Certified Forensic Auditor;31/08/2020;31/12/2029
;Pegawai 1943;Certificate in International Public Sector Accounting Standards;11/03/2021;31/12/2029
;Pegawai 541;Certified Management Accountants;23/07/2020;31/12/2029
;Pegawai 96;Certified Human Resources Management Professional;11/12/2020;31/12/2029
;Pegawai 1141;EnCase Certified Examiner;23/05/2022;31/12/2029
;Pegawai 1134;Sertifikasi Change Management;02/03/2019;31/12/2029
;Pegawai 1763;Certified Internal Audit Officer;21/05/2021;31/12/2029
;Pegawai 1394;Certified Sustainability Practitioner;09/02/2020;31/12/2029
;Pegawai 819;Certified Human Resources Professional;26/11/2022;31/12/2029
;Pegawai 1208;Certified Risk Management Professional;01/09/2019;31/12/2029
;Pegawai 1508;Certified Management Accountants;23/07/2022;31/12/2029
;Pegawai 1541;Certified Professional Management Accountant;16/07/2018;31/12/2029
;Pegawai 1995;Certificate in International Public Sector Accounting Standards;05/10/2018;31/12/2029
;Pegawai 1610;Cerified Sustainability Reporting Assurer;05/02/2020;31/12/2029
;Pegawai 575;Qualified Risk Management Professional;17/02/2018;31/12/2029
;Pegawai 1081;Certified Procurement Specialist;02/12/2019;31/12/2029
;Pegawai 1546;Certified Sustainability Reporting Specialist;09/04/2021;31/12/2029
;Pegawai 1356;Ahli Akuntansi Pemerintahan;19/11/2018;31/12/2029
;Pegawai 879;Certificate in Data Analytics;04/05/2019;31/12/2029
;Pegawai 1748;Certified Pernyataan Standar Akuntansi Keuangan;13/07/2021;31/12/2029
;Pegawai 1682;Ahli Akuntansi Pemerintahan B;11/10/2020;31/12/2029
;Pegawai 1540;Certified State Finance Auditor;15/06/2018;31/12/2029
;Pegawai 957;Certified Risk Management Professional;26/04/2019;31/12/2029
;Pegawai 1319;Certified Human Resources Analyst;30/10/2022;31/12/2029
;Pegawai 76;Certified Risk Management Officer;21/07/2021;31/12/2029
;Pegawai 491;Certified Human Resources Management Professional (CHRMP);14/05/2021;31/12/2029
;Pegawai 1097;Advanced Diploma in Forensic Accounting - Level 5;27/05/2020;31/12/2029
;Pegawai 610;Certificate in International Public Sector Accounting Standards;14/05/2021;31/12/2029
;Pegawai 926;Certified Human Resources Management Professional;07/05/2022;31/12/2029
;Pegawai 262;Certified IPSAS Specialist;06/05/2019;31/12/2029
;Pegawai 627;Certificate in International Public Sector Accounting Standards;28/09/2021;31/12/2029
;Pegawai 1820;Qualified Government Internal Auditor;03/02/2022;31/12/2029
;Pegawai 243;Certified Contract Management Specialist;11/05/2020;31/12/2029
;Pegawai 685;ASEAN Chartered Professional Accountant;01/10/2021;31/12/2029
;Pegawai 217;Certificate in International Auditing;06/07/2021;31/12/2029
;Pegawai 41;Qualified Risk Management Officer;21/10/2019;31/12/2029
;Pegawai 211;Certified IPSAS Specialist;10/02/2019;31/12/2029
;Pegawai 524;Qualified Risk Management Professional;14/01/2021;31/12/2029
;Pegawai 1188;Certified Management Accountants;25/06/2021;31/12/2029
;Pegawai 1176;Ahli Akuntansi Pemerintahan A;28/05/2022;31/12/2029
;Pegawai 384;EnCase Certified Examiner;12/04/2019;31/12/2029
;Pegawai 1919;AccessData Certified Examiner;09/04/2021;31/12/2029
;Pegawai 1049;Certified Sustainability Reporting Specialist;13/09/2018;31/12/2029
;Pegawai 1977;Certified Human Resources Professional;24/03/2019;31/12/2029
;Pegawai 835;Cisco Certified Network Associate;29/06/2021;31/12/2029
;Pegawai 724;Certified Risk Management Officer;07/01/2020;31/12/2029
;Pegawai 827;Certified Risk Professional;28/04/2022;31/12/2029
;Pegawai 1590;Certified Human Resources Management Professional (CHRMP);19/01/2020;31/12/2029
;Pegawai 532;Oxygen Forensic Certified;30/07/2018;31/12/2029
;Pegawai 1042;Certified Internal Auditor;30/04/2020;31/12/2029
;Pegawai 818;Cellebrite Certified Physical Analyst;15/01/2021;31/12/2029
;Pegawai 958;Certified RIsk Associate;13/06/2019;31/12/2029
;Pegawai 804;Certified Human Resources Management Professional (CHRMP);08/12/2019;31/12/2029
;Pegawai 593;Certified Secure Computer User;14/06/2021;31/12/2029
;Pegawai 886;EnCase Certified Examiner;24/05/2019;31/12/2029
;Pegawai 1328;Certified Professional Management Accountant;18/12/2019;31/12/2029
;Pegawai 1192;Certified Secure Computer User;18/10/2021;31/12/2029
;Pegawai 1337;Certified Manpower Planner;29/07/2018;31/12/2029
;Pegawai 1799;Insinyur;13/08/2022;31/12/2029
;Pegawai 1071;Qualified Risk Management Professional;08/05/2018;31/12/2029
;Pegawai 1821;Certified Information System Auditors;15/07/2020;31/12/2029
;Pegawai 1991;Certified Human Resources Professional;19/03/2018;31/12/2029
;Pegawai 165;Oxygen Forensic Certified;15/02/2021;31/12/2029
;Pegawai 456;Certified Procurement Specialist;18/01/2018;31/12/2029
;Pegawai 1085;Certificate in International Public Sector Accounting Standards;18/12/2020;31/12/2029
;Pegawai 1714;Cellebrite Certified Operator;29/07/2018;31/12/2029
;Pegawai 812;Certified Ethical Hacker;29/08/2018;31/12/2029
;Pegawai 1758;Chartered Accountant;28/07/2022;31/12/2029
;Pegawai 58;Certified Data Centre Professional;29/04/2018;31/12/2029
;Pegawai 1265;Ahli Akuntansi Pemerintahan B;10/06/2022;31/12/2029
;Pegawai 1798;Ahli Akuntansi Pemerintahan;06/09/2021;31/12/2029
;Pegawai 1182;Certified Public Accountant;11/01/2022;31/12/2029
;Pegawai 1067;Certified Government Auditing Professional;12/10/2021;31/12/2029
;Pegawai 714;Certified Hacking Forensic Investigator;20/09/2019;31/12/2029
;Pegawai 859;Certified Internal Control Auditor;27/05/2022;31/12/2029
;Pegawai 1993;Certified Corporate Coach;25/07/2022;31/12/2029
;Pegawai 181;Asean Engineeer;10/02/2021;31/12/2029
;Pegawai 752;Ahli Akuntansi Pemerintahan A;03/07/2022;31/12/2029
;Pegawai 1938;Qualified Internal Auditor;26/02/2018;31/12/2029
;Pegawai 553;Oxygen Forensic Certified;09/06/2020;31/12/2029
;Pegawai 1112;Certified Human Resources Professional;19/07/2018;31/12/2029
;Pegawai 1951;Akuntan;28/09/2021;31/12/2029
;Pegawai 1213;Certified Sustainability Reporting Specialist;22/03/2022;31/12/2029
;Pegawai 1053;Enterprise Risk Management Certified Professional;06/03/2019;31/12/2029
;Pegawai 1718;Certified Information System Auditors;13/07/2022;31/12/2029
;Pegawai 307;Corporate Forensic Auditor;18/09/2018;31/12/2029
;Pegawai 1903;Certificate in International Auditing;03/02/2022;31/12/2029
;Pegawai 944;Certificate in International Public Sector Accounting Standards;06/03/2022;31/12/2029
;Pegawai 1510;Certified Procurement Specialist;22/08/2018;31/12/2029
;Pegawai 1712;Certified Sustainability Practitioner;15/05/2022;31/12/2029
;Pegawai 490;Oxygen Forensic Certified;08/10/2019;31/12/2029
;Pegawai 1164;Certified Human Resources Management Professional (CHRMP);05/04/2022;31/12/2029
;Pegawai 1226;AccessData Certified Examiner;14/07/2018;31/12/2029
;Pegawai 820;Teknisi Akuntansi;05/02/2019;31/12/2029
;Pegawai 1521;Certified State Finance Auditor;14/09/2018;31/12/2029
;Pegawai 588;Certified Manpower Planner;09/10/2022;31/12/2029
;Pegawai 463;Certified Professional Management Accountant;15/11/2021;31/12/2029
;Pegawai 952;Certified Professional Coach;23/11/2018;31/12/2029
;Pegawai 1111;Certified Human Resources Management Professional (CHRMP);14/08/2018;31/12/2029
;Pegawai 400;Certified Professional Management Accountant;08/12/2019;31/12/2029
;Pegawai 1184;Certified Risk Management Professional;04/11/2019;31/12/2029
;Pegawai 728;Cellebrite Certified Operator;19/01/2019;31/12/2029
;Pegawai 707;Certification in Risk Management Assurance;01/01/2018;31/12/2029
;Pegawai 1731;Certified Legal Auditor;16/05/2019;31/12/2029
;Pegawai 892;Certificate in International Auditing;20/12/2022;31/12/2029
;Pegawai 1077;Cerified Sustainability Reporting Assurer;04/11/2020;31/12/2029
;Pegawai 1336;Certified Professional Talent Management;02/08/2020;31/12/2029
;Pegawai 1482;Certified Ethical Hacker;12/02/2019;31/12/2029
;Pegawai 1400;Certified Hacking Forensic Investigator;12/10/2019;31/12/2029
;Pegawai 24;Cisco Certified Network Associate;20/05/2021;31/12/2029
;Pegawai 499;Certified Professional Management Accountant;21/08/2019;31/12/2029
;Pegawai 1835;ASEAN Chartered Professional Accountant;11/02/2018;31/12/2029
;Pegawai 1862;Certified Human Resources Professional;16/07/2018;31/12/2029
;Pegawai 1404;Ahli Akuntansi Pemerintahan A;10/12/2020;31/12/2029
;Pegawai 1336;Certified Procurement Specialist;02/05/2022;31/12/2029
;Pegawai 541;Certified Grafologie Analyst;06/09/2021;31/12/2029
;Pegawai 1654;Akuntan;21/12/2018;31/12/2029
;Pegawai 1004;Enterprise Risk Management Certified Professional;24/01/2022;31/12/2029
;Pegawai 312;Qualified Internal Auditor;31/12/2020;31/12/2029
;Pegawai 1738;Cellebrite Certified Physical Analyst;02/04/2019;31/12/2029
;Pegawai 356;Certification in Risk Management Assurance;11/03/2022;31/12/2029
;Pegawai 1581;Certificate in International Auditing;02/01/2022;31/12/2029
;Pegawai 790;Sertifikasi Change Management;17/02/2019;31/12/2029
;Pegawai 1967;Ahli Akuntansi Pemerintahan A;19/04/2022;31/12/2029
;Pegawai 806;Certified IPSAS Specialist;31/01/2019;31/12/2029
;Pegawai 991;Certified Public Accountant;03/02/2019;31/12/2029
;Pegawai 1710;Certified Sustainability Practitioner;05/11/2021;31/12/2029
;Pegawai 1095;Certified Professional Management Accountant;17/05/2020;31/12/2029
;Pegawai 881;Certified Procurement Specialist;30/09/2022;31/12/2029
;Pegawai 1501;Certified Sustainability Reporting Specialist;14/03/2021;31/12/2029
;Pegawai 1916;Ahli Akuntansi Pemerintahan;10/06/2020;31/12/2029
;Pegawai 1840;Certified Data Centre Professional;17/01/2018;31/12/2029
;Pegawai 115;Certified Public Accountant;15/10/2019;31/12/2029
;Pegawai 310;Associate Certified Public Accountant;13/06/2018;31/12/2029
;Pegawai 642;Certified Financial Planner;12/05/2020;31/12/2029
;Pegawai 703;Certified Professional Management Accountant;19/01/2021;31/12/2029
;Pegawai 1637;Certified Human Resources Analyst;27/10/2021;31/12/2029
;Pegawai 1996;Certified Pernyataan Standar Akuntansi Keuangan;16/08/2018;31/12/2029
;Pegawai 1915;Loop Certified Corporate Coach;24/10/2022;31/12/2029
;Pegawai 266;Certified Public Accountant;01/10/2018;31/12/2029
;Pegawai 253;Certified Ethical Hacker;23/10/2018;31/12/2029
;Pegawai 817;Cisco Certified Network Associate;26/01/2018;31/12/2029
;Pegawai 831;Certified Secure Computer User;22/12/2021;31/12/2029
;Pegawai 539;Sertifikasi Change Management;04/09/2019;31/12/2029
;Pegawai 1413;Cellebrite Certified Operator;17/09/2018;31/12/2029
;Pegawai 1574;Cellebrite Certified Officer;02/08/2021;31/12/2029
;Pegawai 294;Certified State Finance Auditor;01/01/2019;31/12/2029
;Pegawai 1703;Certified Accounting Technician;19/11/2022;31/12/2029
;Pegawai 700;Certified Sustainability Reporting Specialist;20/01/2022;31/12/2029
;Pegawai 489;Asean Engineeer;26/06/2021;31/12/2029
;Pegawai 288;Certification in Risk Management Assurance;12/01/2022;31/12/2029
;Pegawai 1186;Cisco Certified Network Associate;24/04/2021;31/12/2029
;Pegawai 567;Certified Professional Coach;12/04/2019;31/12/2029
;Pegawai 789;Governance  Risk Management and Compliance Audit;28/11/2019;31/12/2029
;Pegawai 1915;Ahli Akuntansi Pemerintahan A;30/04/2019;31/12/2029
;Pegawai 1259;Cellebrite Certified Operator;16/06/2020;31/12/2029
;Pegawai 831;Certified Financial Planner;06/03/2020;31/12/2029
;Pegawai 1544;Cerified Sustainability Reporting Assurer;24/07/2019;31/12/2029
;Pegawai 1721;Certified Data Centre Professional;30/05/2019;31/12/2029
;Pegawai 1327;Certified Government Accounting Associate;10/05/2020;31/12/2029
;Pegawai 1864;Certified IPSAS Specialist;07/03/2022;31/12/2029
;Pegawai 1903;Certified Management Accountants;18/10/2022;31/12/2029
;Pegawai 66;Akuntan;18/04/2018;31/12/2029
;Pegawai 1604;Certification in Control Self-Assessment;01/11/2019;31/12/2029
;Pegawai 1793;EnCase Certified Examiner;14/01/2020;31/12/2029
;Pegawai 550;Certified Financial Planner;27/02/2018;31/12/2029
;Pegawai 670;Cellebrite Certified Physical Analyst;22/01/2022;31/12/2029
;Pegawai 572;Certified Professional Coach;28/07/2021;31/12/2029
;Pegawai 267;Qualified Risk Management Officer;12/08/2019;31/12/2029
;Pegawai 672;Akuntan;13/10/2022;31/12/2029
;Pegawai 1287;Certified Government Auditing Professional;28/04/2019;31/12/2029
;Pegawai 654;Certified Government Auditing Professional;28/10/2020;31/12/2029
;Pegawai 864;Certified Internal Control Auditor;03/03/2022;31/12/2029
;Pegawai 402;Associate Certified Public Accountant;25/06/2018;31/12/2029
;Pegawai 936;Certified Secure Computer User;28/11/2019;31/12/2029
;Pegawai 1835;Chartered Accountant;06/02/2018;31/12/2029
;Pegawai 719;Certified Risk Management Professional;06/05/2022;31/12/2029
;Pegawai 1261;Certified Sustainability Reporting Specialist;25/06/2018;31/12/2029
